"alpha0","beta0","rho","clus","rr","trt_mod","out_mod","unbal","beta4","true.rd","dgm","prev","rate","correlation","design","true.effect","NCluster","ClusterSize"
-1.499,-2.35,0,"50 clusters of 20 - unbl",0.8,"none","random intercept",0.2,-0.3147107448397,-0.02,113,"trt prev 20%","out control 10%","no corr","50 clusters of 20 - unbl","moderate effect",50,20
0.15,-2.35,0,"50 clusters of 20 - unbl",0.8,"none","random intercept",0.2,-0.3147107448397,-0.02,114,"trt prev 50%","out control 10%","no corr","50 clusters of 20 - unbl","moderate effect",50,20
-1.499,-0.63,0,"50 clusters of 20 - unbl",0.8,"none","random intercept",0.2,-0.41,-0.06,115,"trt prev 20%","out control 30%","no corr","50 clusters of 20 - unbl","moderate effect",50,20
0.15,-0.63,0,"50 clusters of 20 - unbl",0.8,"none","random intercept",0.2,-0.41,-0.06,116,"trt prev 50%","out control 30%","no corr","50 clusters of 20 - unbl","moderate effect",50,20
-1.499,-2.35,0.5,"50 clusters of 20 - unbl",0.8,"none","random intercept",0.2,-0.3147107448397,-0.02,117,"trt prev 20%","out control 10%","corr","50 clusters of 20 - unbl","moderate effect",50,20
0.15,-2.35,0.5,"50 clusters of 20 - unbl",0.8,"none","random intercept",0.2,-0.3147107448397,-0.02,118,"trt prev 50%","out control 10%","corr","50 clusters of 20 - unbl","moderate effect",50,20
-1.499,-0.63,0.5,"50 clusters of 20 - unbl",0.8,"none","random intercept",0.2,-0.41,-0.06,119,"trt prev 20%","out control 30%","corr","50 clusters of 20 - unbl","moderate effect",50,20
0.15,-0.63,0.5,"50 clusters of 20 - unbl",0.8,"none","random intercept",0.2,-0.41,-0.06,120,"trt prev 50%","out control 30%","corr","50 clusters of 20 - unbl","moderate effect",50,20
-1.499,-2.35,0,"100 clusters of 10 - unbl",0.8,"none","random intercept",0.2,-0.3147107448397,-0.02,121,"trt prev 20%","out control 10%","no corr","100 clusters of 10 - unbl","moderate effect",100,10
0.15,-2.35,0,"100 clusters of 10 - unbl",0.8,"none","random intercept",0.2,-0.3147107448397,-0.02,122,"trt prev 50%","out control 10%","no corr","100 clusters of 10 - unbl","moderate effect",100,10
